"My account","Mon compte"
"Edit address","Modifier l'adresse"
"Edit account information","Modifier les informations de compte"
"My orders","Mes commandes"
"My product Reviews","Mes avis sur les produits"
"Order details","Détails de la commande"
"Payment methods","Méthodes de paiement"
"Cart Subtotal","Sous-total"
"Be the first to review this product","Écrire la première critique"
"Thank you for placing your order","Merci de votre commande"
"Your order # is: <span>%1</span>.","Votre numéro de commande est : <span>%1</span>."
"Your order # is: %1.","Votre numéro de commande est : %1"
"reviews","avis"
"Add Review","Ajouter un avis"
"Price - Ascending","Prix - Croissant"
"Price - Descending","Prix - Décroissant"
"Position - Ascending","Position - Croissant"
"Position - Descending","Position - Décroissant"
"Bestseller Score By Amount - Ascending","Score de best-seller per montant - croissant"
"Bestseller Score By Amount - Descending","Score de best-seller per montant - décroissant"
"Product Name - Ascending","Nom - Croissant"
"Product Name - Descending","Nom - Décroissant"
"Bestseller Score By Amount - Descending","Score de best-seller per montant - décroissant"
"Save Billing Address","Sauvegarder l'adresse de facturation"
"Show Password","Afficher le mot de passe"
"Order success","Commande réussie"
"Show all products","Afficher tous les produits"
"Thank you!","Merci!"
"Clear all filters","Effacer tous les filtres"
"Free shipping applied","Livraison gratuite appliquée"
"Firstname","Prénom"
"Lastname","Nom"
"Housenumber","Numéro de maison"
"All results","Tous les résultats"
Pages,Pages
"Pages results","Résultats des pages"
"Recommended products","Cela pourrait être utile"
"Please select and accept your Cookies Group","Veuillez sélectionner et accepter votre groupe de cookies"
"You saved your cookie settings!","Vous avez enregistré vos paramètres de cookies!"
"My Addresses","Mes adresses"
"More filters","Plus de filtres"
"Less filters","Moins de filtres"
"Accept Cookies","Accepter les cookies"
"Custom Settings","Paramètres personnalisés"
"Your rating","Votre note"
"Nickname","Surnom"
"Comment","Commenter"
"Order ID","Numéro de commande"
"The password doesn't match this account. Verify the password and try again.","Le mot de passe ne correspond pas à ce compte. Vérifiez le mot de passe et réessayez."
"Create New Customer Account","Créer un nouveau compte client"
"Password reset","Réinitialisation du mot de passe"
"0 ratings yet","0 évaluation pour le moment"
"review","évaluation"
"reviews","évaluations"
"You might like...","Vous pourriez aimer..."
"Go to %1","Allez à %1"
"Do not forget about street number","N'oubliez pas le numéro de rue"
"New user","Nouveau client"
"I have an account","J'ai un compte"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Vous avez ajouté le produit %1 à <a href=""%2"">la liste de comparaison</a>."
